company,level,location,rating,salary_from,salary_to,salary_unit,skill,state,title
SMART Core Labs,entry,"Pearland, TX 77584",,15.0,18.0,hour,java,Texas,Teacher
Proximate Technology,entry,"Plano, TX",,70000.0,75000.0,year,java,Texas,Junior Salesforce Developer
Indeed,entry,"Austin, TX 78731",4.4,98000.0,120000.0,year,java,Texas,QA Automation Engineer
Cloud Resources LLC,entry,"Irving, TX 75063",,65000.0,90000.0,year,java,Texas,ServiceNow Developer
Hilton DFW Lakes,entry,"Grapevine, TX",,13.0,13.0,hour,java,Texas,Hotel Accounts Receivable Clerk
cloud big data,entry,"Dallas, TX",,30.0,35.0,hour,java,Texas,Java Developer/devops/androi/data science/phython/.net devel...
Travis County,entry,"Austin, TX 78701 ",3.7,59467.0,64813.0,year,java,Texas,Application Dev Analyst
Sellmark Corporation,entry,"Mansfield, TX 76063",4.0,45000.0,60000.0,year,java,Texas,Web Services Systems Administrator
eKidsHub,entry,"Katy, TX 77450",,10.0,15.0,hour,java,Texas,Software Programmer
"Acerra Technologies, Inc.",entry,"Stafford, TX 77477",,40000.0,40000.0,year,java,Texas,Systems Programmer
Ingress IT Solutions,entry,"Houston, TX",,70000.0,75000.0,year,java,Texas,Junior AWS/DevOps Engineer
EZ Electricity,entry,"Aledo, TX 76008",,36000.0,60000.0,year,java,Texas,Programmer -Technology Lead
Kuled,entry,"Houston, TX 77054 ",,20000.0,40000.0,year,java,Texas,Amazon ECommerce Specialist
"Lawyer's Aid Service, Inc.",entry,"Austin, TX 78701 ",,16.0,16.0,hour,java,Texas,Mac Systems Administrator Trainee
Forescout Technologies Inc.,entry,"Dallas, TX",3.5,20.0,30.0,hour,java,Texas,Jr. QA Engineer Contractor
Techouts Inc,entry,"Houston, TX",,70000.0,70000.0,year,java,Texas,Fulltime - Quality Analyst with Selenium experience
TEXAS DEPARTMENT OF MOTOR VEHICLES,entry,"Austin, TX 78731",3.8,3520.0,3520.0,month,java,Texas,PROGRAMMER ANALYST I
Bexar County,entry,"San Antonio, TX",3.7,4796.0,4796.0,month,java,Texas,Applications Developer I
Synergistic-IT,entry,"Dallas, TX",,75000.0,100000.0,year,java,Texas,Junior Software Developer
University of Houston Clear Lake,entry,"Houston, TX 77058 ",4.3,4160.0,4160.0,month,java,Texas,Data Analytics Specialist (Reposted)
theCoderSchool,entry,"Frisco, TX 75033",4.3,15.0,20.0,hour,java,Texas,Code Coach
Zelus Analytics,entry,"Austin, TX 78703",,95000.0,125000.0,year,java,Texas,Software Engineer - Sports Analytics
Insigma Inc,entry,"Austin, TX",,40.0,50.0,hour,java,Texas,Java Developer
Proximate Technology,entry,"Plano, TX",,70000.0,75000.0,year,java,Texas,Full-stack Java Developer
Dept of Family & Protectve Svc,entry,"Austin, TX 78754",3.4,3763.0,4019.0,month,java,Texas,Data Developer
Dallas TX,entry,"Dallas, TX",,70.0,70.0,hour,java,Texas,Fullstack Developer
State Farm,entry,"Richardson, TX 75081",3.8,25.0,25.0,hour,java,Texas,Intern - Data Engineering
Screativesoft,entry,"Dallas, TX 75252 ",,85000.0,100000.0,year,java,Texas,Software Developer-Full time-Direct Clients-Best pay-H1-B tr...
"Techouts, Inc.",entry,"Plano, TX",,60000.0,60000.0,year,java,Texas,Entry Level UI Developer
Innovative Intelligent Solutions,entry,"Plano, TX 75075",4.0,30.0,35.0,hour,java,Texas,QA Tester
premier it solutions,entry,"Dallas-Fort Worth, TX",,38.0,40.0,hour,java,Texas,Software Developer
TIRUVEN,entry,"Irving, TX",,68000.0,68000.0,year,java,Texas,Programmer Analyst
SConcept,entry,"Carrollton, TX",,74000.0,78000.0,year,java,Texas,Entry Level Java Full Stack Developers
Imcs Group,entry,"Irving, TX 75063",3.5,65000.0,80000.0,year,java,Texas,Junior Java Developer
SynergisticIT,entry,"Dallas, TX",4.2,80000.0,100000.0,year,java,Texas,Java Training And Placement
SynergisticIT,entry,"Dallas, TX",4.2,85000.0,110000.0,year,java,Texas,Entry Level Java Developer
SDH Systems,entry,"Plano, TX 75024",,93538.0,93538.0,year,java,Texas,Java Developer
TeXperts Inc,entry,"Carrollton, TX",,50.0,55.0,hour,java,Texas,Java Developer
Synergistic IT,entry,"Texas City, TX",,60000.0,100000.0,year,java,Texas,Entry Level Software Developer
10BITS LLC,entry,"Dallas, TX",,65000.0,80000.0,year,java,Texas,Entry Level Software Developer
Solware it technologies,entry,"McKinney, TX",,80000.0,90000.0,year,java,Texas,Java Developer
NLB,entry,"Dallas, TX",3.8,50.0,60.0,hour,java,Texas,Java Developer with Spring Boot
Brilliant Infotech Inc.,entry,"Richardson, TX",,50000.0,80000.0,year,java,Texas,Java Developer
AriesConsultancy Services Inc,entry,"Dallas, TX",,60.0,60.0,hour,java,Texas,Java Developer
Fortune minds Inc,entry,"Frisco, TX",,50.0,60.0,hour,java,Texas,Java Full Stack Developer
Surge technologies,entry,"Houston, TX",,40000.0,45000.0,year,java,Texas,Entry level Java Developer
SConcept,entry,"Carrollton, TX",,73000.0,78000.0,year,java,Texas,Training and Placement on Software Development
Pricesenz,entry,"Irving, TX",,40.0,50.0,hour,java,Texas,JAVA Node JS Developer
FNBTech | Bevager,entry,"Dallas, TX",,70000.0,90000.0,year,java,Texas,Java/C++ Software Developer
Net Resolute,entry,"Arlington, TX 76019 ",,40.0,45.0,hour,java,Texas,Java Developer
Sigmoid,entry,"Dallas, TX",,50000.0,70000.0,year,java,Texas,Jr. Software Engineer (Entry Level)
VEDAINFO,entry,"Dallas, TX",,70000.0,90000.0,year,java,Texas,Jr. Java Developer For Fulltime Role
Zadon Technology,entry,"Austin, TX",,80000.0,110000.0,year,java,Texas,Java Developer
DG Allen Consulting,entry,"San Antonio, TX",,30.0,35.0,hour,java,Texas,Java Developer
Digital Dragon,entry,"Glendale, CA",,15.0,20.0,hour,java,California,Technology Teacher
"Nongshim America, Inc.",entry,"Rancho Cucamonga, CA 91739",,35000.0,37000.0,year,java,California,IT - Entry level coordinator
Mission Bit,entry,"San Francisco, CA",,27.0,27.0,hour,java,California,Lead Instructor
"RICEFW Technologies, inc",entry,"Sunnyvale, CA",,50.0,55.0,hour,java,California,Hadoop BiG Data Engineer
Wyzant,entry,"Berkeley, CA 94704",4.0,24.0,30.0,hour,java,California,Java Tutoring/Teaching
The Coder School - North San Diego,entry,"San Diego, CA 92129",,15.0,20.0,hour,java,California,Coding Tutor Part-Time
"Radiant Logic, Inc.",entry,"Novato, CA 94945",,80000.0,85000.0,year,java,California,Systems Engineer
Insigma Inc,entry,"Sunnyvale, CA",,50.0,60.0,hour,java,California,Android Developer
Cogent Infotech,entry,"Sunnyvale, CA",2.8,65.0,95.0,hour,java,California,Staff Backend Software Engineer
MV Code Club,entry,"San Francisco, CA",,18.0,30.0,hour,java,California,Coding Instructor
SOLUTE,entry,"San Diego, CA 92110",2.3,60000.0,90000.0,year,java,California,Software Engineer
Quandary Peak Research,entry,"Los Angeles, CA",,150000.0,150000.0,year,java,California,Software Litigation Consultant
Squadra Technologies Services,entry,"Carlsbad, CA",,60000.0,80000.0,year,java,California,Software Engineer
The Coder School - North San Diego,entry,"San Diego, CA 92129",,15.0,20.0,hour,java,California,Coding Coach for Kids in Rancho Penasquitos
West Advanced Technologies (WATI),entry,"Manhattan Beach, CA",,71531.0,71531.0,year,java,California,Computer Programmer/Software Developer
PayCafe,entry,"Sherman Oaks, CA",,90000.0,100000.0,year,java,California,Software Developer
Pex,entry,"Los Angeles, CA",3.9,105000.0,115000.0,year,java,California,Infrastructure Engineer
Composite Apps Inc.,entry,"Irvine, CA 92618",,40000.0,50000.0,year,java,California,Entry Level Developer
US Department of the Navy,entry,"Point Mugu, CA",4.3,84785.0,131064.0,year,java,California,Interdisciplinary Engineer/Scientist
Pyxeda Inc,entry,"Santa Clara, CA 95054",,20.0,35.0,hour,java,California,Immediate Opening for Tutors (Weekends)
Bionika,entry,"Burbank, CA",,90000.0,120000.0,year,java,California,Computer Vision Engineer
Ohlone College,entry,"Fremont, CA 94539",4.3,62.47,93.39,hour,java,California,Adjunct Faculty Pool - Computer Science
Pex,entry,"Los Angeles, CA",3.9,115000.0,135000.0,year,java,California,Senior Go Developer
SDH Systems,entry,"El Segundo, CA 90245",,99174.0,99174.0,year,java,California,Automation QA Engineer
"RICEFW Technologies, inc",entry,"Sunnyvale Baylands Park, CA",,50.0,55.0,hour,java,California,Hadoop Developer
Innovative Intelligent Solutions,entry,"Fremont, CA 94536",4.0,25.0,50.0,hour,java,California,Software Developer
NLB,entry,"San Francisco, CA",3.8,50.0,60.0,hour,java,California,"Data Analytics Engineer with Presto, Druid"
Mission Bit,entry,"San Francisco, CA",,22.0,22.0,hour,java,California,Instructor’s Assistant
City of Redding,entry,"Redding, CA",4.5,49524.0,69684.0,year,java,California,Systems Analyst - Programmer I
ConvergeDirect,entry,"San Diego, CA 92121",3.0,80000.0,90000.0,year,java,California,Database Programmer
Rexo Solutions,entry,"Sunnyvale, CA",,65.0,67.0,hour,java,California,UI Developer
Pex,entry,"Los Angeles, CA",3.9,115000.0,145000.0,year,java,California,Senior C/C++ Developer
Mission Critical Electronics,entry,"Huntington Beach, CA",,130000.0,130000.0,year,java,California,Software Engineer - Embedded Processor Coder
"AlertEnterprise, Inc",entry,"Fremont, CA 94538",,75000.0,75000.0,year,java,California,Technical Consultant / Analyst
American Tours International,entry,"Los Angeles, CA 90045",3.0,15.0,25.0,hour,java,California,"Associate, IT Support Services"
"AWM Smart Shelf (Adroit Worldwide Media, Inc.)",entry,"Aliso Viejo, CA 92656",,110000.0,140000.0,year,java,California,Computer Vision Engineer
"City of Los Angeles, CA",entry,"City of Los Angeles, CA",4.3,58986.0,93980.0,year,java,California,APPLICATIONS PROGRAMMER 1429 (B)
Altigen,entry,"San Jose, CA 95134 ",,60000.0,60000.0,year,java,California,Computer Programmer
EnSoft Consulting,entry,"Pleasanton, CA",,90288.0,90288.0,year,java,California,Node.js Developer
"AlertEnterprise, Inc",entry,"Fremont, CA 94538",,75000.0,75000.0,year,java,California,Identity and Access Management Analyst
California State University,entry,"Rohnert Park, CA",4.3,4372.0,6356.0,month,java,California,E/PO Technologist
Dataquest Corp,entry,"Los Angeles, CA",,75000.0,85000.0,year,java,California,Entry Level Python Developer
Kalloc Studios,entry,"Carlsbad, CA 92008",,45000.0,55000.0,year,java,California,Junior Programmer
12th Wonder,entry,"Dublin, CA 94568",,25.0,25.0,hour,java,California,QA Tester (Entry Level)
Catalyst,entry,"San Francisco, CA 94107 ",,100000.0,225000.0,year,java,California,Principal Data Scientist
TekIntegra,entry,"Fremont, CA 94538",,72800.0,72800.0,year,java,California,Software Engineer
Horizon Technologies,entry,"Sunnyvale, CA",4.2,40.0,45.0,hour,java,California,Software Developer
Dash Technologies,entry,"San Jose, CA",,72000.0,180000.0,year,java,California,IT Developer
HCL America Inc,entry,"Mountain View, CA",2.8,33.0,38.0,hour,java,California,Software Engineer(Entry Level)
SQA²,entry,"Los Alamitos, CA",,29000.0,33000.0,year,java,California,Jr. QA Analyst Trainee
"Designworks, a BMW Group Company",entry,"Newbury Park, CA",3.9,14.85,14.85,hour,java,California,Creative Technology Internship
Codazen,entry,"Laguna Hills, CA 92653",,20.0,20.0,hour,java,California,Software Engineering Internship
StormGeo,entry,"Sunnyvale, CA 94086",,75000.0,90000.0,year,java,California,Jr. Software Developer
HCL America Inc,entry,"Mountain View, CA",2.8,35.0,38.0,hour,java,California,Jr. Python Developer
Test Pro,entry,"Los Angeles, CA",4.0,40.0,100.0,hour,java,California,Java instructor
Keyo,entry,"Palo Alto, CA",,80000.0,110000.0,year,java,California,Jr. Software Engineer
DIGITAL DHARA,entry,California,,60.0,70.0,hour,java,California,Python Backend Developer
Thinkify,entry,"Morgan Hill, CA 95037",,90000.0,95000.0,year,java,California,SOftware Engineer 1
"University of California, Davis",entry,"Davis, CA 95616 ",4.2,23.66,47.51,hour,java,California,APPLICATIONS PROGR 2 (Programmer)
Vingstech,entry,"Los Angeles, CA",,80.0,85.0,hour,java,California,Java Lead Developer
sun west direct,entry,"Buena Park, CA 90620",,57000.0,57000.0,year,java,California,Software Engineers (Hiring all levels of experience)
CityCore,entry,"Glendale, CA",,140000.0,140000.0,year,java,California,Java/PL/SQL Developer
VULTUSINC,entry,California,,50.0,50.0,hour,java,California,java developer
Synergistic IT,entry,"San Francisco, CA",,75000.0,100000.0,year,java,California,Entry Level Java Developer
CityCore,entry,"Glendale, CA",,160000.0,160000.0,year,java,California,Core Java Developer
DIGITAL DHARA,entry,"San Diego, CA",,60.0,62.0,hour,java,California,Java Developer
SynergisticIT,entry,"San Jose, CA",4.2,80000.0,110000.0,year,java,California,Entry Level Java Developer
EnSoft Consulting,entry,"San Jose, CA",,128663.0,128663.0,year,java,California,Java Backend Developer
SynergisticIT,entry,"Los Angeles, CA",4.2,80000.0,100000.0,year,java,California,Java Training And Placement
Clear Capital,entry,"Roseville, CA 95661",3.1,80000.0,120000.0,year,java,California,Software Engineer - Java
Urpantech,entry,"California City, CA",,35.0,50.0,hour,java,California,Java Developer
Pricesenz,entry,"Hollywood, CA",,125000.0,135000.0,year,java,California,Java Software Developer
Otcmarketpro,entry,"Los Angeles, CA",,70000.0,80000.0,year,java,California,Java Developer
Pex,entry,"Los Angeles, CA",3.9,115000.0,135000.0,year,java,California,Senior Java Developer
Ace-stack LLC,entry,"Irvine, CA",,130000.0,130000.0,year,java,California,Front end (ReactJS)
Agility,entry,"Palo Alto, CA",,140000.0,150000.0,year,java,California,Java Lead Developer
"Sunwest Mortgage Company, Inc.",entry,"Buena Park, CA 90620",2.2,57000.0,57000.0,year,java,California,Software Engineers
New Age Meats,entry,"Berkeley, CA",,20.0,20.0,hour,java,California,Bioengineering Intern
ShareWorld Learning Center,entry,"Cupertino, CA 95014",,30.0,40.0,hour,java,California,Need History&Literature&Essay Writing Teacher and Python/Jav...
Kara Health,entry,"Beverly Hills, CA",,16.0,16.0,hour,sql,California,IT Coordinator
West Advanced Technologies (WATI),entry,"Manhattan Beach, CA",,71531.0,71531.0,year,sql,California,Computer Programmer/Software Developer
Wyzant,entry,"Los Angeles, CA 90025",4.0,24.0,30.0,hour,sql,California,SQL Tutoring/Teaching
"Education Department, State",entry,"Albany, NY 12234 ",3.6,56604.0,71980.0,year,sql,New York,"Information Technology Specialist 2, Box P12-1966/26308"
Mindex Technologies,entry,"Rochester, NY 14623",,65000.0,95000.0,year,sql,New York,Java Software Engineer
Advice Media,entry,"Melville, NY 11747",3.1,35000.0,40000.0,year,sql,New York,SEO (Search Engine Optimization) Analyst
David Nojaim,entry,"Buffalo, NY",,55000.0,72000.0,year,sql,New York,IT SYSTEMS / NETWORK ENGINEER
SUNY System Administration,entry,"Albany, NY",3.8,50000.0,50000.0,year,sql,New York,Java Developer
Wyzant,entry,"New York, NY 10012 ",,24.0,30.0,hour,sql,New York,R Tutoring/Teaching
Synergy Infotech,entry,"Albany, NY",,65.0,70.0,hour,sql,New York,Java Developer
Wyzant,entry,"New York, NY 10027 ",,24.0,30.0,hour,sql,New York,Tutor or Teacher - Python
Mindex Technologies,entry,"Rochester, NY 14623",,65000.0,90000.0,year,sql,New York,QA Automation Engineer
Sonwil Distribution Center Inc,entry,"Buffalo, NY 14225",2.2,55000.0,60000.0,year,sql,New York,Technology Support Lead
New York State Education Department,entry,"Albany, NY",4.4,56604.0,56604.0,year,sql,New York,Information Technology Specialist 2 (Programming)
David Nojaim,entry,"Buffalo, NY",,20.0,20.0,hour,sql,New York,IT FIELD TECH
Vancro Incorporated,entry,"Albany, NY",,44.0,44.0,day,sql,New York,IT BACKFILL: HBITS NYS CONTRACT - Task Order #HBITS-07-06497
Isaac Heating & Air Conditioning,entry,"Rochester, NY",3.2,43000.0,50000.0,year,sql,New York,Software Support Technician
I-Evolve Technology Services,entry,"Amherst, NY",,45000.0,50000.0,year,sql,New York,Systems Engineer
Koren Associates,entry,"Yonkers, NY 10710",,80000.0,100000.0,year,sql,New York,Lead Developer
WheelHouse IT,entry,"Wantagh, NY 11793",3.2,40000.0,55000.0,year,sql,New York,IT Field Engineer 2 (NY)
MVP Health Care,entry,"Schenectady, NY 12307",3.4,54000.0,85000.0,year,sql,New York,"Underwriter, Professional, Underwriting- Systems"
Dataquest Corp,entry,"Albany, NY",,75000.0,85000.0,year,sql,New York,Entry Level Java Developer
James McGuinness & Associates,entry,"Schenectady, NY 12305",,35000.0,45000.0,year,sql,New York,Client Relationship Manager
Fleetcor,entry,"Brentwood, NY",2.6,37209.0,37209.0,year,sql,New York,Technical Service Specialist III
New York City LAW DEPARTMENT,entry,"Manhattan, NY 10007 ",3.9,89509.0,126575.0,year,sql,New York,Certified IT Developer (Applications) Level 3
"GCOM Software, Inc",entry,"Albany, NY",3.0,35.0,50.0,hour,sql,New York,Quality Assurance - (Application Tester)
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Queens, NY 11101",4.0,62272.0,68499.0,year,sql,New York,"Data and Technology Analyst, Bureau of Emergency Field Opera..."
Pod1,entry,"New York, NY 10001 ",,138861.0,138861.0,year,sql,New York,"Software Developer, Architect"
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Queens, NY 11101",4.0,73305.0,91045.0,year,sql,New York,"CIR-Lead Coordinator, Bureau of Immunization"
Wyzant,entry,"New York, NY 10027 ",4.0,24.0,30.0,hour,sql,New York,SQL Tutoring/Teaching
Zioqu Inc,entry,"New York, NY",,90000.0,95000.0,year,sql,New York,Java Developer
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Manhattan, NY",4.0,62272.0,75349.0,year,sql,New York,"Laboratory Scientist, Bureau of the Public Health Laboratory..."
Eventive,entry,"New York, NY",5.0,80000.0,120000.0,year,sql,New York,.Net Core 2.0 Developer
Digi555,entry,"New York, NY",,65000.0,75000.0,year,sql,New York,Java Developer
North White Plains Company,entry,"White Plains, NY 10603",,40000.0,55000.0,year,sql,New York,IT Engineer
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Queens, NY 11101",4.0,53857.0,70200.0,year,sql,New York,"Hub Population Health Analyst, Bureau of Primary Care Inform..."
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Queens, NY 11101",4.0,62272.0,68499.0,year,sql,New York,"Project Coordinator, Bureau of Immunization"
"Health, Department of",entry,"Albany, NY 12237",,56604.0,88124.0,year,sql,New York,Research Scientist 1 or Research Scientist 2 (Biostatistics)...
Wyzant,entry,"New York, NY 10016 ",4.0,24.0,30.0,hour,sql,New York,Tutor or Teacher - SQL
Third Republic,entry,"New York, NY 10001 ",,150000.0,170000.0,year,sql,New York,Mulesoft Developer
OEC Group,entry,"New York, NY",3.5,80000.0,90000.0,year,sql,New York,Integration Engineer
Mobikasa,entry,"New York, NY",,80000.0,120000.0,year,sql,New York,.Net Core 2.0 Developer
"Levi & Korsinsky, LLP",entry,"New York, NY",,52000.0,52000.0,year,sql,New York,Web Developer/Programmer
New York City DEPARTMENT OF CITY PLANNING,entry,"Manhattan, NY",4.0,65000.0,75000.0,year,sql,New York,Associate Economic Planner
Compute Inc,entry,"Buffalo, NY 14216 ",,120000.0,150000.0,year,sql,New York,RPA – Blue Prism at Buffalo NY
Workforce Opportunity Services,entry,"Bethpage, NY",3.5,18.5,18.5,hour,sql,New York,Junior Software Developer
Otis Wealth,entry,"New York, NY",,100000.0,120000.0,year,sql,New York,Head of Back End Engineering
Transport Workers Union of America Local 100,entry,"Brooklyn, NY 11201",,15.0,17.0,hour,sql,New York,IT Helpdesk Support
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,52524.0,62000.0,year,sql,New York,Program Data Analyst
New York City DISTRICT ATTORNEY KINGS COUNTY,entry,"Brooklyn, NY 11201",,89509.0,110000.0,year,sql,New York,.Net Developer
New York City MAYORS OFFICE OF CONTRACT SVCS,entry,"Manhattan, NY 10007 ",,80000.0,100000.0,year,sql,New York,DevOps Engineer
SoHo Dragon,entry,"New York, NY 10004 ",,80.0,80.0,hour,sql,New York,Business Analyst - investment bank IT
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Queens, NY 11101",4.0,73305.0,84301.0,year,sql,New York,"Youth Mental Health Research Analyst, Children, Youth and Fa..."
New York City NYC EMPLOYEES RETIREMENT SYS,entry,"Brooklyn, NY 11201",,89509.0,116126.0,year,sql,New York,COMPUTER SPECIALIST (SOFTWARE)
New York City DEPARTMENT OF TRANSPORTATION,entry,"Manhattan, NY",4.1,55416.0,83151.0,year,sql,New York,Data Scientist
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"New York, NY",4.0,73305.0,91045.0,year,sql,New York,"Environmental Epidemiologist, Bureau of Environmental Survei..."
Workforce Opportunity Services,entry,"Long Island City, NY",3.5,22.0,22.0,hour,sql,New York,IT Data Analyst
SConcept,entry,"New York, NY",,75000.0,80000.0,year,sql,New York,Jr. ServiceNow Developer/Admin
DataCamp,entry,"New York, NY",,150000.0,150000.0,year,sql,New York,"Data Science Online Course Instructor (Part-Time, Contract)"
Presat,entry,"New York, NY",,90.0,90.0,hour,sql,New York,Cloud Data Infrastructure Engineer
THEMESOFT,entry,"White Plains, NY",3.9,38.0,38.0,hour,sql,New York,Business Analyst
Uni World BPO,entry,"New York, NY",,50000.0,80000.0,year,sql,New York,Accounting and Market Research
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,57000.0,61560.0,year,sql,New York,Business Intelligence Analyst
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,48000.0,52524.0,year,sql,New York,Policy Analyst- Data
Dow Jones,entry,"New York, NY 10176 ",3.9,900.0,900.0,week,sql,New York,Summer 2020 Data Reporting Internship at The Wall Street Jou...
Ace-stack LLC,entry,"New York, NY",,45.0,45.0,hour,sql,New York,Production support Analyst
Dash Technologies,entry,"New York, NY",,72000.0,180000.0,year,sql,New York,IT Developer
KGS Technology Group,entry,"New York, NY",4.5,50000.0,60000.0,year,sql,New York,Entry Level Data Analyst
New York City ADMIN FOR CHILDREN'S SVCS,entry,"Manhattan, NY",3.5,50362.0,78177.0,year,sql,New York,Analyst
Rapkotech,entry,"New York, NY",,500000.0,550000.0,year,sql,New York,Java/J2EE Developer
Sesame Workshop,entry,"New York, NY 10023 ",4.4,15.0,15.0,hour,sql,New York,Fall 2019 - Digital Production Internship
Presat,entry,"New York, NY",,85.0,85.0,hour,sql,New York,Database Engineer
New York City DEPT OF INFO TECH & TELECOMM,entry,"Manhattan, NY",3.8,63031.0,145000.0,year,sql,New York,Data Scientist
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,37217.0,61936.0,year,sql,New York,Policy Analyst
THEMESOFT,entry,"White Plains, NY",3.9,44.0,44.0,hour,sql,New York,PL/SQL Developer
Quantum Technologies Inc.,entry,"New York, NY",,70000.0,120000.0,year,sql,New York,Software Quality Assurance Tester
Controlled Combustion,entry,"Bronx, NY 10458 ",3.9,34000.0,44000.0,year,sql,New York,Operations Administrator
zioqu,entry,"New York, NY 10005 ",,30.0,35.0,hour,sql,New York,Business Systems Analyst
NLB,entry,"New York, NY",,65.0,70.0,hour,sql,New York,PL/SQL Developer
UncommonGoods,entry,"Brooklyn, NY 11220 ",4.2,19.0,19.0,hour,sql,New York,Operations (Warehouse) Analytics Intern: Seasonal (Paid) Rol...
Controlled Combustion,entry,"Bronx, NY 10458 ",3.9,40000.0,50000.0,year,sql,New York,Data Entry Operator
Insigma Inc,entry,"Long Island City, NY",,35.0,45.0,hour,sql,New York,SQL Developer
"KGS Technology Group, Inc",entry,"New York, NY",4.5,50000.0,60000.0,year,sql,New York,Entry level/ Junior/ Fresher Data Analyst
"KGS Technology Group, Inc",entry,"New York, NY",4.5,50000.0,60000.0,year,sql,New York,Entry level / Fresher/ Junior Data Analyst
zioqu,entry,"New York, NY 10005 ",,35.0,40.0,hour,sql,New York,Business Analyst
Mphasis,entry,"New York, NY 10016 ",3.8,75.0,75.0,hour,sql,New York,DataStage and Informatica
PCS GlobalTech,entry,"New York, NY",,60000.0,70000.0,year,sql,New York,Jr. BI Developer/Analyst Role
Controlled Combustion,entry,"Bronx, NY 10458 ",3.9,40000.0,50000.0,year,sql,New York,Administrative Assistant
Second Stage Theater,entry,"New York, NY 10036",1.5,15.0,15.0,hour,sql,New York,DATABASE INTERN
Trusymmetry Inc,entry,"New York, NY",,50000.0,60000.0,year,sql,New York,Jr. Business Analyst
"RICEFW Technologies, inc",entry,"New York, NY",,35.0,40.0,hour,sql,New York,Business Solution Analyst
New York City NYC HOUSING AUTHORITY,entry,"Manhattan, NY",3.8,57691.0,90056.0,year,sql,New York,Analysis and Reporting Analyst
Iron Mountain,entry,"Brooklyn, NY 11222",3.7,18.0,18.0,hour,sql,New York,"Quality Improvement Specialist, Consumer Storage"
New York City DEPARTMENT OF CORRECTION,entry,"Queens, NY",3.5,62862.0,97873.0,year,sql,New York,Data Analyst
Options Group,entry,"New York, NY 10003 ",3.5,480.0,480.0,day,sql,New York,Jr Data Engineer
Pro-Tech Consulting Inc.,entry,"Buffalo, NY",,25.0,28.0,hour,sql,New York,Jr ETL developer (SQL)
Columbia University,entry,"New York, NY",4.1,20.0,20.0,hour,sql,New York,Short-Term Casual
Excel Impact,entry,"North Miami, FL 33161",,60000.0,85000.0,year,sql,Florida,Full Stack Software Engineer
Excel Impact,entry,"North Miami, FL 33161",,60000.0,85000.0,year,sql,Florida,Full Stack Software Developer
Creditors Rights Law Firm,entry,"Boca Raton, FL",,14.0,16.0,hour,sql,Florida,Tech Support & Software Development Specialist
Temperis,entry,"Miami, FL",,20000.0,20000.0,year,sql,Florida,QA automation internship
The State of Florida,entry,"Tallahassee, FL 32399",3.6,40948.0,62974.0,year,sql,Florida,DISTRIBUTED COMPUTER SYSTEMS ANALYST II - 64055180
Emphasys Software,entry,"Miami, FL 33178",,70000.0,80000.0,year,sql,Florida,Python Linux Developer
SDH Systems,entry,"Boca Raton, FL 33496",,84000.0,84000.0,year,sql,Florida,SharePoint Developer
Florida International University,entry,"Miami, FL",4.3,12.0,12.0,hour,sql,Florida,Student Junior Application Developer Assistant
The State of Florida,entry,"Tallahassee, FL 32308",3.6,38660.0,38660.0,year,sql,Florida,DATA BASE ANALYST - 71000609
WheelHouse IT,entry,"Fort Lauderdale, FL 33312",3.2,35000.0,45000.0,year,sql,Florida,IT Support Escalation
Sreyo Inc,entry,"Tallahassee, FL",,50.0,55.0,hour,sql,Florida,Web Application Programmer - Entry Level
SDH Systems,entry,"Tampa, FL 33609 ",,76253.0,76253.0,year,sql,Florida,Automation QA Engineer
LMS,entry,"Doral, FL 33122",3.7,65000.0,80000.0,year,sql,Florida,Application Support Admin
Tek-Mate LLC,entry,"Bradenton, FL 34202",,26.0,26.0,hour,sql,Florida,IT Managed Services Systems Administrator
ProVal Technologies,entry,"Altamonte Springs, FL",,30000.0,50000.0,year,sql,Florida,Jr. IT Automation Engineer
Insigma Inc,entry,"Tampa, FL",,90000.0,110000.0,year,sql,Florida,Oracle EBS Consultant
bkissel@cticonsulting.net,entry,"Miami Gardens, FL",,60000.0,70000.0,year,sql,Florida,QA Analyst
Florida Department of Revenue,entry,"Orlando, FL",3.4,3893.0,3893.0,month,sql,Florida,COMPUTER SUPPORT SPECIALIST - 73003126
Insurance Technologies,entry,"Plantation, FL",3.6,60000.0,75000.0,year,sql,Florida,Software Developer - C#
Sistema Technologies,entry,"Tampa, FL",,65000.0,80000.0,year,sql,Florida,Citrix Admin/Engineer
The State of Florida,entry,"Tampa, FL 33602 ",3.6,25.0,25.0,hour,sql,Florida,OPS OPERATIONS ANALYST I - 64929064
"Central Florida Cares Health System, Inc.",entry,"Orlando, FL 32825",,50000.0,50000.0,year,sql,Florida,Data Analyst
